k,count,claims,claim_rate,feature
d9k_10k,2309,325,0.140753572975314,days_fixed
d7k_9k,1855,258,0.13908355795148247,days_fixed
d10k_plus,1806,216,0.11960132890365449,days_fixed
d5k_7k,1668,170,0.10191846522781775,days_fixed
d2500_5k,2741,264,0.09631521342575702,days_fixed
d0_700,1351,86,0.06365655070318282,days_fixed
d700_2500,3200,177,0.0553125,days_fixed
1_1,700,77,0.11,w_pair
0_1,8575,902,0.10518950437317784,w_pair
0_0,698,72,0.10315186246418338,w_pair
1_0,4957,445,0.08977203954004438,w_pair
8,175,29,0.1657142857142857,age_coarse
7,431,47,0.10904872389791183,age_coarse
6,818,89,0.10880195599022005,age_coarse
3,3398,364,0.10712183637433785,age_coarse
2,3039,316,0.1039815728858177,age_coarse
5,1457,151,0.10363761153054221,age_coarse
4,2310,224,0.09696969696969697,age_coarse
1,3302,276,0.08358570563294973,age_coarse
E|C,836,91,0.10885167464114832,t3_sfx×code
E|B,4744,516,0.1087689713322091,t3_sfx×code
M|D,313,32,0.10223642172523961,t3_sfx×code
P|C,3691,376,0.10186941208344621,t3_sfx×code
E|A,613,58,0.09461663947797716,t3_sfx×code
P|A,3709,341,0.09193852790509571,t3_sfx×code
P|B,1024,82,0.080078125,t3_sfx×code
M|D|bin_2,62,13,0.20967741935483872,t3_sfx×code×days_q5
E|A|bin_3,122,24,0.19672131147540983,t3_sfx×code×days_q5
E|C|bin_4,189,29,0.15343915343915343,t3_sfx×code×days_q5
E|B|bin_3,1020,155,0.15196078431372548,t3_sfx×code×days_q5
M|D|bin_3,54,8,0.14814814814814814,t3_sfx×code×days_q5
P|C|bin_3,825,117,0.14181818181818182,t3_sfx×code×days_q5
P|B|bin_3,215,30,0.13953488372093023,t3_sfx×code×days_q5
E|C|bin_3,166,23,0.13855421686746988,t3_sfx×code×days_q5
P|A|bin_4,138,19,0.13768115942028986,t3_sfx×code×days_q5
E|B|bin_4,1243,169,0.13596138374899436,t3_sfx×code×days_q5
P|B|bin_4,216,27,0.125,t3_sfx×code×days_q5
P|C|bin_4,969,121,0.12487100103199174,t3_sfx×code×days_q5
E|B|bin_2,823,94,0.11421628189550426,t3_sfx×code×days_q5
P|C|bin_2,650,74,0.11384615384615385,t3_sfx×code×days_q5
P|A|bin_3,584,64,0.1095890410958904,t3_sfx×code×days_q5
E|C|bin_2,160,17,0.10625,t3_sfx×code×days_q5
E|A|bin_1,104,10,0.09615384615384616,t3_sfx×code×days_q5
P|A|bin_0,1016,94,0.09251968503937008,t3_sfx×code×days_q5
E|A|bin_2,111,10,0.09009009009009009,t3_sfx×code×days_q5
P|A|bin_1,991,85,0.08577194752774975,t3_sfx×code×days_q5
E|B|bin_1,850,69,0.0811764705882353,t3_sfx×code×days_q5
P|A|bin_2,980,79,0.08061224489795918,t3_sfx×code×days_q5
E|C|bin_1,149,12,0.08053691275167785,t3_sfx×code×days_q5
P|B|bin_2,200,16,0.08,t3_sfx×code×days_q5
M|D|bin_1,67,5,0.07462686567164178,t3_sfx×code×days_q5
P|C|bin_1,622,45,0.07234726688102894,t3_sfx×code×days_q5
M|D|bin_4,68,4,0.058823529411764705,t3_sfx×code×days_q5
E|C|bin_0,172,10,0.05813953488372093,t3_sfx×code×days_q5
E|A|bin_4,163,9,0.05521472392638037,t3_sfx×code×days_q5
E|A|bin_0,113,5,0.04424778761061947,t3_sfx×code×days_q5
E|B|bin_0,808,29,0.03589108910891089,t3_sfx×code×days_q5
M|D|bin_0,62,2,0.03225806451612903,t3_sfx×code×days_q5
P|C|bin_0,625,19,0.0304,t3_sfx×code×days_q5
P|B|bin_1,203,5,0.024630541871921183,t3_sfx×code×days_q5
P|B|bin_0,190,4,0.021052631578947368,t3_sfx×code×days_q5
bin_0,2957,412,0.13933040243490025,ratio_q5
bin_1,2957,363,0.12275955360162327,ratio_q5
bin_2,2958,317,0.10716700473292766,ratio_q5
bin_-1,144,13,0.09027777777777778,ratio_q5
bin_3,2956,256,0.08660351826792964,ratio_q5
bin_4,2958,135,0.04563894523326572,ratio_q5
d10k_plus|a539,43,10,0.23255813953488372,days_fixed×region
d9k_10k|8a21,118,26,0.22033898305084745,days_fixed×region
d9k_10k|1d96,183,33,0.18032786885245902,days_fixed×region
d7k_9k|9685,216,37,0.1712962962962963,days_fixed×region
d7k_9k|f09d,496,83,0.16733870967741934,days_fixed×region
d9k_10k|f09d,823,134,0.16281895504252733,days_fixed×region
d7k_9k|22b5,50,8,0.16,days_fixed×region
d9k_10k|fafc,216,34,0.1574074074074074,days_fixed×region
d10k_plus|9685,234,36,0.15384615384615385,days_fixed×region
d7k_9k|fafc,111,17,0.15315315315315314,days_fixed×region
d7k_9k|8a21,192,29,0.15104166666666666,days_fixed×region
d9k_10k|9685,288,43,0.14930555555555555,days_fixed×region
d10k_plus|f167,49,7,0.14285714285714285,days_fixed×region
d700_2500|22b5,49,7,0.14285714285714285,days_fixed×region
d5k_7k|f09d,331,46,0.13897280966767372,days_fixed×region
d0_700|908d,87,12,0.13793103448275862,days_fixed×region
d10k_plus|8a21,97,13,0.13402061855670103,days_fixed×region
d5k_7k|9685,226,29,0.12831858407079647,days_fixed×region
d10k_plus|fafc,193,24,0.12435233160621761,days_fixed×region
d5k_7k|8a21,199,24,0.12060301507537688,days_fixed×region
d2500_5k|fafc,133,16,0.12030075187969924,days_fixed×region
d7k_9k|6645,101,12,0.1188118811881188,days_fixed×region
d10k_plus|1d96,110,13,0.11818181818181818,days_fixed×region
d10k_plus|fa70,68,8,0.11764705882352941,days_fixed×region
d2500_5k|f09d,541,62,0.11460258780036968,days_fixed×region
d2500_5k|f167,97,11,0.1134020618556701,days_fixed×region
d7k_9k|1d96,212,24,0.11320754716981132,days_fixed×region
d10k_plus|f09d,632,69,0.10917721518987342,days_fixed×region
d2500_5k|8a21,341,37,0.10850439882697947,days_fixed×region
d2500_5k|1d96,378,41,0.10846560846560846,days_fixed×region
d2500_5k|ab86,83,9,0.10843373493975904,days_fixed×region
d700_2500|ab86,122,13,0.10655737704918032,days_fixed×region
d7k_9k|908d,86,9,0.10465116279069768,days_fixed×region
d0_700|2a36,67,7,0.1044776119402985,days_fixed×region
d2500_5k|6645,134,14,0.1044776119402985,days_fixed×region
d9k_10k|f167,48,5,0.10416666666666667,days_fixed×region
d5k_7k|6645,88,9,0.10227272727272728,days_fixed×region
d7k_9k|f167,70,7,0.1,days_fixed×region
d2500_5k|9685,358,35,0.09776536312849161,days_fixed×region
d9k_10k|2a36,72,7,0.09722222222222222,days_fixed×region
d5k_7k|1d96,248,24,0.0967741935483871,days_fixed×region
d10k_plus|6645,131,12,0.0916030534351145,days_fixed×region
d5k_7k|f167,67,6,0.08955223880597014,days_fixed×region
d9k_10k|908d,56,5,0.08928571428571429,days_fixed×region
d9k_10k|fa70,93,8,0.08602150537634409,days_fixed×region
d0_700|6645,63,5,0.07936507936507936,days_fixed×region
d700_2500|8a21,371,29,0.07816711590296496,days_fixed×region
d9k_10k|6645,171,13,0.07602339181286549,days_fixed×region
