cross,auc_oof_te,auc_leaky_te,gap_leaky_minus_oof,nunique,mean_count,median_count,min_count,n_cells_lt20,n_cells_lt50,row_share_lt20,row_share_lt50,sparse_risk,corr_with_b5_oof,auc_oof_te_on_b5_midband,corr_te_vs_residual,group
B5:days_q5×cond_q5,0.6120686378006479,0.6259196774247479,0.013851039624099948,30,497.6666666666667,549.0,23,0,5,0.0,0.009645010046885465,False,0.5582478419131172,0.5114495047046096,0.004640436620607414,b5_like
t3_sfx×region×days_q5,0.6059486007647609,0.6667904894915049,0.06084188872674401,267,55.91760299625468,24.0,1,127,183,0.06215673141326189,0.18158070997990622,True,0.4355282092063685,0.5216890029903982,0.020565536440614953,candidate
ratio_1k_q5×region,0.6056395786013459,0.6427659506289015,0.03712637202755564,117,127.6068376068376,60.0,1,24,54,0.01580709979906229,0.07997320830542531,False,0.4780530809394528,0.5397210990507674,0.01191609188602431,candidate
ratio_q5×region,0.6056231584557978,0.6427464206073025,0.03712326215150463,117,127.6068376068376,60.0,1,24,54,0.01580709979906229,0.07997320830542531,False,0.4780598132386181,0.539763813786728,0.011919400826596198,candidate
days_fixed×cond_q5,0.6028998275586169,0.6272008219626313,0.024300994404014342,42,355.4761904761905,364.0,12,4,7,0.0035498995311453447,0.009645010046885465,False,0.542072936488878,0.5048763851429471,0.0024231456297167417,candidate
code×days_q5,0.6023712730250248,0.6122687894232768,0.009897516398251982,20,746.5,900.5,54,0,0,0.0,0.0,False,0.5014962910331976,0.5041122252385303,0.007484872014704447,candidate
B5:days_q5×x19,0.602231079812655,0.6323925734368618,0.030161493624206837,76,196.44736842105263,85.0,1,12,25,0.012391158740790355,0.04072337575351641,False,0.468820933892354,0.5041137529472557,0.01005595058849158,b5_like
car×days_q5,0.6021272348315672,0.6267090386034637,0.02458180377189656,55,271.45454545454544,122.0,12,4,6,0.004085733422638982,0.009042196918955124,False,0.48106636611857084,0.5016101438881629,0.010289500060085346,candidate
B5:days_q5×source,0.6021272348315672,0.6267090386034637,0.02458180377189656,55,271.45454545454544,122.0,12,4,6,0.004085733422638982,0.009042196918955124,False,0.48106636611857084,0.5016101438881629,0.010289500060085346,b5_like
t3_sfx×code×days_q5,0.6018619002069138,0.6193448521151935,0.017482951908279754,35,426.57142857142856,200.0,54,0,0,0.0,0.0,False,0.49212702183674817,0.5029372950120432,0.007882981334581974,candidate
B5:days_q5×region,0.6012165636078621,0.6373707386239241,0.036154175016061996,100,149.3,78.5,6,9,37,0.008506363027461487,0.06858673811118553,False,0.47170727733066503,0.5153821936137376,0.01133937665587603,b5_like
ratio_q5×source,0.6008253163216645,0.6258600673206063,0.025034750998941813,66,226.21212121212122,96.5,1,11,17,0.005090421969189551,0.017749497655726726,False,0.5083140477264487,0.5198439586086264,0.004551179514986322,candidate
days_fixed×source,0.6007998402170565,0.6320865616334641,0.03128672141640765,77,193.8961038961039,79.0,5,6,20,0.004353650368385801,0.03610180843938379,False,0.4724736925947278,0.5023689873662154,0.012204269785631177,candidate
days_fixed×region,0.6005632906051291,0.650387261669051,0.04982397106392189,140,106.64285714285714,49.5,2,30,70,0.026255860683188213,0.11781647689216343,False,0.4645401423343839,0.5172315766882893,0.013861722361572603,candidate
days_fixed×t3_sfx,0.5999721156073783,0.6102745129884345,0.010302397381056205,21,710.952380952381,792.0,24,0,5,0.0,0.011922304085733422,False,0.4781634557592632,0.49999945002485896,0.007490911017543161,candidate
ratio_q5×code,0.5996582171583157,0.6129724175390242,0.013314200380708519,24,622.0833333333334,652.0,2,1,3,0.00013395847287340923,0.005626255860683188,False,0.521122011513216,0.5243514326485775,0.001257098614979986,candidate
days_fixed×code,0.5994904828836403,0.6159241626123835,0.01643367972874321,28,533.2142857142857,557.0,24,0,5,0.0,0.011922304085733422,False,0.49553547667430803,0.49767232187771776,0.008377231419369007,candidate
w_pair×ratio_q5,0.5992340798230049,0.6131628165903578,0.013928736767352845,24,622.0833333333334,145.5,2,2,3,0.0008707300736771601,0.003348961821835231,False,0.5079974366232735,0.5206615883184301,0.0015444640439558738,candidate
ratio_q5×w_pair,0.5992340798230049,0.6131628165903578,0.013928736767352845,24,622.0833333333334,145.5,2,2,3,0.0008707300736771601,0.003348961821835231,False,0.5079974366232735,0.5206615883184301,0.0015444640439558738,candidate
ratio_q5×t3_sfx,0.5989291875749854,0.6085832379969731,0.009654050421987748,18,829.4444444444445,1025.0,2,1,1,0.00013395847287340923,0.00013395847287340923,False,0.5005739023872198,0.5222028630972546,0.0030754513119636484,candidate
B5:days_q5×x20,0.5985915296728948,0.7017363905853056,0.10314486091241082,514,29.04669260700389,28.0,1,204,427,0.07776289350301406,0.5887474882786337,True,0.44789889289846435,0.5272172920006237,0.017970236186712788,b5_like
t3_sfx×days_q5,0.597939077677439,0.6054491049129872,0.007510027235548167,15,995.3333333333334,1103.0,54,0,0,0.0,0.0,False,0.4816333920160062,0.4958234276699583,0.006607396191314658,candidate
t3_sfx×days_q10,0.5973394189378216,0.6116985625506038,0.014359143612782233,30,497.6666666666667,579.0,24,0,10,0.0,0.020964501004688548,False,0.4805573120063222,0.49612805278979166,0.0035023489037070542,candidate
t3_sfx×code×days_fixed,0.5967962355472864,0.622548273237591,0.02575203769030454,49,304.6938775510204,142.0,24,0,6,0.0,0.014869390488948427,False,0.48672204208654085,0.491458519408256,0.005549518888579939,candidate
age_coarse×ratio_q5,0.5962420556350356,0.618189719754888,0.021947664119852384,48,311.0416666666667,234.0,1,5,12,0.0025452109845947755,0.016476892163429336,False,0.44639713588652885,0.5350122118924668,0.011744500724287918,candidate
w_pair×days_q5,0.5959974203453764,0.6074331311963657,0.011435710850989267,20,746.5,324.0,127,0,0,0.0,0.0,False,0.4954414320319116,0.4991217508079746,0.002583931604124591,candidate
w_pair×days_fixed,0.5955877874719664,0.6117968595128173,0.01620907204085087,28,533.2142857142857,232.0,61,0,0,0.0,0.0,False,0.48831258886560436,0.4954413782719243,0.004132657790791988,candidate
r_pair×days_q5,0.5955754972418137,0.6058382872414872,0.01026278999967356,20,746.5,519.0,128,0,0,0.0,0.0,False,0.4702236313296276,0.4916497274323201,0.008112819789005996,candidate
cond_q10×source,0.5950997857220763,0.6380787952031679,0.04297900948109157,121,123.38842975206612,48.0,1,21,63,0.010515740120562625,0.1101808439383791,False,0.4306119866645053,0.5477215874286927,0.018438960922939736,candidate
ratio_q10,0.5947678997499362,0.6031332921735018,0.008365392423565599,11,1357.2727272727273,1479.0,144,0,0,0.0,0.0,False,0.5043903085244293,0.5217591553750661,0.002475724280211053,candidate
liv_q5×days_q5,0.5947362287722349,0.6104768042057864,0.015740575433551562,25,597.2,579.0,218,0,0,0.0,0.0,False,0.47397571018992407,0.49990137112469185,0.0060668897387950865,candidate
age_raw×days_q5,0.5946609200137889,0.6143515356120117,0.019690615598222827,46,324.5652173913044,273.0,1,8,10,0.0029470864032150033,0.007032819825853985,False,0.43826947297862384,0.5003654279271021,0.009482561786419368,candidate
B5:days_q5×age_raw,0.5946609200137889,0.6143515356120117,0.019690615598222827,46,324.5652173913044,273.0,1,8,10,0.0029470864032150033,0.007032819825853985,False,0.43826947297862384,0.5003654279271021,0.009482561786419368,b5_like
