feature,auc,auc_abs,nunique,missing,corr_with_b5_oof,corr_with_residual
cond_per_1k_days,0.39520696840876035,0.6047930315912396,14786,0.009645010046885465,-0.16666450314828385,-0.007080227034804213
cond_over_days,0.39521056729075504,0.6047894327092449,14786,0.009645010046885465,-0.16942376751339835,-0.0070723702254984165
days,0.5932241821573325,0.5932241821573325,14928,0.0,0.47129294952170286,0.004856595127182889
log_days,0.5932241821573325,0.5932241821573325,14928,0.0,0.44029810257204344,0.007160160617606933
days_x_cond,0.5474368889155397,0.5474368889155397,14786,0.009645010046885465,0.15374241276392794,-0.0055025134544305285
condition,0.46730010200042593,0.5326998979995741,14713,0.009645010046885465,-0.1557556811482785,-0.006415614206261082
log_cond,0.46730010200042593,0.5326998979995741,14713,0.009645010046885465,-0.15588407732083343,-0.003978814725624214
age_range,0.522893290350368,0.522893290350368,10,0.0,0.0915437513057998,0.007418145342949061
V,0.5204809719372747,0.5204809719372747,337,0.0,0.05632507639542747,0.0033010884719710198
x19,0.5193015327857563,0.5193015327857563,16,0.0,0.05500957132141639,0.002676446014320118
w2,0.5184370867596704,0.5184370867596704,2,0.0,0.070293341337318,0.00884661297957827
w1,0.48334569322470955,0.5166543067752905,2,0.0,-0.07415759653449283,-0.0057503668216561865
cc,0.5152025419977565,0.5152025419977565,12285,0.0,0.056626423461441165,0.0043991293830943886
t3_num,0.5133449508350988,0.5133449508350988,101,0.0,0.04410235818836326,0.0026323545625855024
max_g,0.5118430548556261,0.5118430548556261,14921,0.0,0.0527099538525942,0.001362404978232569
x20,0.48935596407550797,0.510644035924492,125,0.0,-0.0806138752246459,0.0037305316752454386
livability,0.49517852280788066,0.5048214771921193,22,0.0,-0.07147482250310531,-0.00254785698886227
