cross,auc_oof_te,auc_leaky_te,gap_leaky_minus_oof,nunique,mean_count,median_count,min_count,n_cells_lt20,n_cells_lt50,row_share_lt20,row_share_lt50,sparse_risk,corr_with_b5_oof,auc_oof_te_on_b5_midband,corr_te_vs_residual,group
region×car×version,0.5246724628785291,0.7400622044871381,0.21538974160860902,1941,7.691911385883565,2.0,1,1798,1891,0.41038178164768924,0.5936369725385131,True,0.08519175722509202,0.5132325852204813,0.002783799047440195,candidate
t3_full×code×days_q5,0.5727480616266971,0.7553434885465007,0.18259542691980357,1206,12.379767827529022,6.0,1,856,1203,0.30656396517079704,0.9895512391158741,True,0.2321109708993201,0.5209697577225065,0.021888357174326203,candidate
region×days_q5×version,0.5704149330973609,0.7357585092179711,0.16534357612061024,1410,10.588652482269504,3.0,1,1265,1345,0.3536503683858004,0.51768251841929,True,0.3186036270223153,0.5118943734854295,0.009953216752127968,candidate
t3_full×days_q5,0.5719839277625053,0.720066696640896,0.14808276887839067,768,19.440104166666668,18.0,1,397,755,0.1884125920964501,0.9536503683858004,True,0.2501309362215161,0.516478782936789,0.02003991495992003,candidate
car×version×days_q5,0.5609772305324745,0.7026958495444953,0.14171861901202076,887,16.832018038331455,4.0,1,759,834,0.27073007367716007,0.4225050234427328,True,0.3280976969324782,0.49543985056319895,-0.00447077860133221,candidate
t3_full×code,0.5229565576687454,0.6231896789533142,0.10023312128456885,256,58.3203125,28.0,1,89,164,0.06610850636302747,0.2160750167448091,True,0.049443261108668715,0.5156639642110399,0.015944781421219474,candidate
source×version,0.5111861246386573,0.5915912733195923,0.08040514868093496,203,73.54679802955665,14.0,1,116,138,0.06490288010716677,0.11902210314802411,True,0.041420497680837554,0.5008130465836278,-0.0016269875766768492,candidate
car×version,0.5111861246386573,0.5915912733195923,0.08040514868093496,203,73.54679802955665,14.0,1,116,138,0.06490288010716677,0.11902210314802411,True,0.041420497680837554,0.5008130465836278,-0.0016269875766768492,candidate
age_raw×version,0.5121784238889433,0.5861887468861434,0.07401032299720012,161,92.73291925465838,35.0,1,61,104,0.02940388479571333,0.13241795043536503,False,0.028070794482078474,0.5140016337928192,0.014384848613065196,candidate
month×version,0.5155229089890045,0.577344135002655,0.06182122601365048,215,69.44186046511628,7.0,1,155,175,0.05043536503683858,0.09765572672471534,True,0.016455499610865607,0.5148979710561528,0.011432694767448475,candidate
t3_sfx×region×days_q5,0.6059486007647609,0.6667904894915049,0.06084188872674401,267,55.91760299625468,24.0,1,127,183,0.06215673141326189,0.18158070997990622,True,0.4355282092063685,0.5216890029903982,0.020565536440614953,candidate
age_coarse×region,0.5546317648014177,0.6147643529984976,0.060132588197079895,156,95.7051282051282,38.5,1,50,91,0.03060951105157401,0.12417950435365037,False,0.21074538168162504,0.5261240025284191,0.0189936378842304,candidate
days_fixed×version,0.5768033151179186,0.6303525942635775,0.05354927914565888,133,112.25563909774436,36.0,13,7,90,0.007769591426657736,0.18164768921634294,False,0.38458957654628473,0.5037158764868273,-0.0010560947715008056,candidate
version×days_fixed,0.5768033151179186,0.6303525942635775,0.05354927914565888,133,112.25563909774436,36.0,13,7,90,0.007769591426657736,0.18164768921634294,False,0.38458957654628473,0.5037158764868273,-0.0010560947715008056,candidate
days_fixed×region,0.6005632906051291,0.650387261669051,0.04982397106392189,140,106.64285714285714,49.5,2,30,70,0.026255860683188213,0.11781647689216343,False,0.4645401423343839,0.5172315766882893,0.013861722361572603,candidate
age_coarse×source,0.5353560564263872,0.5801923087640188,0.044836252337631666,87,171.60919540229884,66.0,1,20,35,0.010850636302746148,0.04253181513730744,False,0.13784838929524254,0.5140503982553322,0.018212297368463602,candidate
version×days_q5,0.5761850220010047,0.6207658913173455,0.044580869316340754,95,157.1578947368421,50.0,33,0,47,0.0,0.13523107836570664,False,0.39289602504871124,0.49464684751804777,0.0019040338964959255,candidate
w_pair×region,0.5359574566965931,0.5800008896733406,0.04404343297674751,80,186.625,66.0,4,20,36,0.01259209645010047,0.04795713328868051,False,0.18979214105862333,0.5126813879123775,0.0056880969097391635,candidate
cond_q5×region,0.5629711337821904,0.6066983048040769,0.0437271710218865,117,127.6068376068376,59.0,1,25,55,0.01620897521768252,0.08325519089082384,False,0.2704595002264121,0.5336812109425987,0.0099744376532811,candidate
cond_q10×source,0.5950997857220763,0.6380787952031679,0.04297900948109157,121,123.38842975206612,48.0,1,21,63,0.010515740120562625,0.1101808439383791,False,0.4306119866645053,0.5477215874286927,0.018438960922939736,candidate
