feat,oof_te,mid_te
ratio5|region,0.6076821203124962,0.5663329938721542
days5|code,0.6018351055148602,0.5649327165081806
w_pair|ratio5,0.5993851949200647,0.5534630423271141
ratio5|source,0.5981870467542248,0.5520984854768034
days5|w_pair,0.5937766951760199,0.5554442847709792
days5,0.5926449988416334,0.5477615166923455
days5|t_pair,0.5918043371475838,0.5554520269846385
ratio5,0.5912612283940739,0.5496097459118454
t_pair|ratio5,0.5863141619675196,0.5402962616206307
version|days5,0.5762403529157003,0.542658932693647
cond5|source,0.573613676966178,0.5562921734659916
age8|region,0.5580351385143769,0.5369094917279928
livability|region,0.5402237588161254,0.5289900046360243
region|livability,0.5402237588161254,0.5289900046360243
livability,0.5391305751867518,0.5289900046360243
region,0.5386888483924976,0.5295511655985735
region|version,0.5269873550947034,0.5215090989950674
cond5,0.5223615761827083,0.509523354769629
source,0.5218608363805144,0.5081753788833349
source|version,0.5167376763324599,0.502470530410086
age8,0.5165169248908708,0.5072440869424676
w_pair,0.5094537495253086,0.5041198877465414
version,0.5027244753315674,0.5052683936388643
code,0.4997160558770587,0.5021888866204978
grades,0.4965309705838566,0.49852695247330825
grades|code,0.4961795297111089,0.49571792450723634
t_pair,0.4721778297782226,0.4985019647279366
