cross,auc_oof_te,nunique,mean_count,sparse_risk
days_q5×cond_q5×source,0.6212863850522141,274.0,54.48905109489051,False
days_q5×cond_q5×car,0.6212863850522141,274.0,54.48905109489051,False
days_q5×region×car,0.6133506779828338,890.0,16.775280898876403,True
days_q5×region×source,0.6133506779828338,890.0,16.775280898876403,True
days_q5×livability×source,0.6115881992693135,914.0,16.334792122538293,True
days_q5×t3_suf×region,0.6070520843036146,267.0,55.91760299625468,False
days_q5×region×month,0.6058680674145496,773.0,19.314359637774903,True
days_q5×cond_q5×region,0.6053910373073668,495.0,30.161616161616163,True
days_q10×region×car,0.6034407967174039,1526.0,9.783748361730012,True
days_q5×livability×region,0.602178784136985,138.0,108.18840579710145,False
days_q5×grades×region,0.6011535948375859,270.0,55.2962962962963,False
age_range×days_q5×region,0.5990001673859686,723.0,20.650069156293224,True
w_conflict×days_q5×region,0.597709519066874,198.0,75.4040404040404,False
cond_q5×region×source,0.5815039052081915,894.0,16.700223713646533,True
days_q5×cond_q5×version,0.5810456089943388,473.0,31.56448202959831,True
days_q5×region×version,0.5747066615634845,1410.0,10.588652482269504,True
days_q5×source×version,0.5628918195033911,887.0,16.832018038331455,True
days_q5×car×version,0.5628918195033911,887.0,16.832018038331455,True
age_range×source×region,0.5612003703588707,1169.0,12.771599657827203,True
code×region×source,0.546567010315434,211.0,70.75829383886256,False
cond_q5×source×version,0.5456937073623553,857.0,17.421236872812134,True
region×source×month,0.5436607440694414,610.0,24.475409836065573,True
region×car×month,0.5436607440694414,610.0,24.475409836065573,True
region×t3_suf×version,0.5418584091844542,783.0,19.067688378033207,True
cond_q5×region×version,0.5360989436173998,1408.0,10.603693181818182,True
region×version×livability,0.5345065875633619,416.0,35.88942307692308,True
region×source×version,0.5210980957407934,1941.0,7.691911385883565,True
region×car×version,0.5210980957407934,1941.0,7.691911385883565,True
car×version×livability,0.5208930180745002,1961.0,7.613462519122897,True
source×version×month,0.5092737996575056,534.0,27.95880149812734,True
