feat,type,auc_oof_te,auc_abs,nunique,mean_count,auc
car_token,cat/flag,0.517571322146139,0.517571322146139,11,1357.2727272727273,
eng_id,cat/flag,0.517571322146139,0.517571322146139,11,1357.2727272727273,
car_id,cat/flag,0.517571322146139,0.517571322146139,11,1357.2727272727273,
eng_token,cat/flag,0.517571322146139,0.517571322146139,11,1357.2727272727273,
t3_num,num,,0.5133449508350988,101,,0.5133449508350988
t3_suffix,cat/flag,0.5078707230994229,0.5078707230994229,3,4976.666666666667,
version_num,num,,0.5027752782667333,19,,0.5027752782667333
w1_ne_w2,cat/flag,0.5011293328285881,0.5011293328285881,2,7465.0,
w1_eq_w2,cat/flag,0.5011293328285881,0.5011293328285881,2,7465.0,
version_is_late,cat/flag,0.5009131840035539,0.5009131840035539,2,7465.0,
month_num,cat/flag,0.500395849902753,0.500395849902753,13,1148.4615384615386,
month_is_m1,cat/flag,0.4999939295219489,0.4999939295219489,2,7465.0,
month_rare,cat/flag,0.4998427397878636,0.4998427397878636,2,7465.0,
region_len,cat/flag,0.49970284512359486,0.49970284512359486,1,14930.0,
source_has_pipe,cat/flag,0.49970284512359486,0.49970284512359486,1,14930.0,
region_is_hexlike,cat/flag,0.49970284512359486,0.49970284512359486,1,14930.0,
t3_bucket,cat/flag,0.4995640700147045,0.4995640700147045,5,2986.0,
month_is_m2,cat/flag,0.49949127403610766,0.49949127403610766,2,7465.0,
r1_eq_r2,cat/flag,0.4982541653431035,0.4982541653431035,2,7465.0,
condition_missing,cat/flag,0.49765400902331786,0.49765400902331786,2,7465.0,
version_is_early,cat/flag,0.49749306671793736,0.49749306671793736,2,7465.0,
grades_s_count,cat/flag,0.4959976144016419,0.4959976144016419,3,4976.666666666667,
grades_len,cat/flag,0.4959976144016419,0.4959976144016419,3,4976.666666666667,
version_is_v1,cat/flag,0.49473955758355964,0.49473955758355964,2,7465.0,
t1_eq_t2,cat/flag,0.488605463907923,0.488605463907923,2,7465.0,
t3_prefix2,cat/flag,0.48653157464618074,0.48653157464618074,2,7465.0,
c1_eq_c2,cat/flag,0.4810634422675644,0.4810634422675644,2,7465.0,
