col,type,nunique,auc_insample_te,auc_oof_te,auc_abs,missing,missing_rate,mean_count_per_level,mutual_info,auc
days,numeric,14928,,,0.5932241821573325,0,0.0,,0.006935730999140688,0.5932241821573325
region,categorical,20,0.5577402973857537,0.5408213525980452,0.5408213525980452,0,0.0,746.5,0.002236989227956402,
condition,numeric,14714,,,0.5323898317701354,144,0.009645010046885465,,0.0032330496092556338,0.46761016822986456
x1,numeric,14925,,,0.5282182191565976,0,0.0,,0.0,0.5282182191565976
t3,categorical,163,0.6009402324614933,0.5258459310680299,0.5258459310680299,0,0.0,91.59509202453988,0.006672619001959194,
x5,numeric,14925,,,0.5247231662976612,0,0.0,,0.0007100001252124954,0.5247231662976612
age_range,numeric,10,,,0.522893290350368,0,0.0,,0.0007381313562823914,0.522893290350368
x10,numeric,14922,,,0.5224458165051721,0,0.0,,0.0,0.5224458165051721
V,numeric,337,,,0.5204809719372747,0,0.0,,0.0043922026680802695,0.5204809719372747
x19,numeric,16,,,0.5193015327857563,0,0.0,,0.0009325910271639299,0.5193015327857563
w2,numeric,2,,,0.5184370867596704,0,0.0,,0.00026337435915857466,0.5184370867596704
x14,numeric,14920,,,0.518326847873422,0,0.0,,0.0,0.518326847873422
source,categorical,11,0.5334442041463953,0.517571322146139,0.517571322146139,0,0.0,1357.2727272727273,0.0008290060022538722,
x0,numeric,14921,,,0.5174101808086912,0,0.0,,0.0,0.5174101808086912
x17,numeric,14907,,,0.516952232900956,0,0.0,,0.0,0.516952232900956
w1,numeric,2,,,0.5166543067752905,0,0.0,,0.00021462615183935607,0.48334569322470955
x9,numeric,14927,,,0.5164139506750769,0,0.0,,0.0026287458713070144,0.5164139506750769
cc,numeric,12285,,,0.5152025419977565,0,0.0,,0.001193433386946774,0.5152025419977565
x2,numeric,14922,,,0.5141737950001553,0,0.0,,0.0,0.5141737950001553
x15,numeric,14928,,,0.5136963170708212,0,0.0,,0.0,0.5136963170708212
x13,numeric,14925,,,0.5135880187472285,0,0.0,,0.00019581469279583708,0.5135880187472285
r1,numeric,2,,,0.512739644560573,0,0.0,,0.00012499170533009085,0.512739644560573
max_g,numeric,14921,,,0.5118430548556261,0,0.0,,0.0,0.5118430548556261
x20,numeric,125,,,0.510644035924492,0,0.0,,0.0026198010084308443,0.48935596407550797
x7,numeric,14917,,,0.5103594449473321,0,0.0,,0.0,0.48964055505266785
x11,numeric,14922,,,0.5077206280417076,0,0.0,,0.0,0.5077206280417076
x8,numeric,14917,,,0.506977566697636,0,0.0,,0.00036440780414137564,0.506977566697636
x18,numeric,14930,,,0.5054815919221641,0,0.0,,0.0,0.5054815919221641
livability,numeric,22,,,0.5048214771921193,0,0.0,,0.002323987020554633,0.49517852280788066
c2,numeric,2,,,0.5047160150754849,0,0.0,,1.7198484439304162e-05,0.4952839849245151
x6,numeric,14917,,,0.5042758805377687,0,0.0,,0.0004374554781341189,0.5042758805377687
x16,numeric,14915,,,0.5038847327676046,0,0.0,,0.0008873954318380228,0.4961152672323954
t1,numeric,2,,,0.5032692509786406,0,0.0,,9.826345235178224e-06,0.5032692509786406
t2,numeric,2,,,0.5031918275044802,0,0.0,,9.305742485726798e-06,0.4968081724955198
x3,numeric,14924,,,0.5028180701611922,0,0.0,,0.0021404907381372684,0.5028180701611922
x4,numeric,14915,,,0.5016326849266646,0,0.0,,0.0008174394969016063,0.5016326849266646
x12,numeric,14919,,,0.501133313469933,0,0.0,,0.0,0.501133313469933
r2,numeric,2,,,0.500821106793442,0,0.0,,6.171739387744735e-07,0.4991788932065579
c1,numeric,2,,,0.5008181213124334,0,0.0,,6.165758370119123e-07,0.5008181213124334
month,categorical,13,0.5141225442428382,0.500395849902753,0.500395849902753,0,0.0,1148.4615384615386,0.0003435952459437271,
version,categorical,19,0.5292339046747855,0.49919083513059287,0.49919083513059287,0,0.0,785.7894736842105,0.0007144174769857002,
code,categorical,4,0.5130872789450345,0.49791698014217256,0.49791698014217256,0,0.0,3732.5,0.00014283916644257898,
grades,categorical,3,0.5065892053764134,0.4959976144016419,0.4959976144016419,0,0.0,4976.666666666667,3.58143462639484e-05,
