iter	Logloss
0	0.667185841
1	0.6420885369
2	0.6190459515
3	0.5984120296
4	0.5792358212
5	0.5614358388
6	0.5443022193
7	0.5282726735
8	0.5135159912
9	0.4997926851
10	0.4874763446
11	0.4761519618
12	0.4656250084
13	0.4558605474
14	0.4467914179
15	0.4378847439
16	0.4300664604
17	0.4226440046
18	0.4158248541
19	0.4095628416
20	0.4037391897
21	0.3983233567
22	0.3932892695
23	0.3885670439
24	0.3841066401
25	0.3800495298
26	0.3762694175
27	0.3727508061
28	0.3694754431
29	0.3664181345
30	0.3635728638
31	0.3609207723
32	0.3582197458
33	0.3556626496
34	0.3535205612
35	0.3512963902
36	0.3492660696
37	0.347531445
38	0.345892355
39	0.3443801641
40	0.3429688648
41	0.3416428126
42	0.3404001219
43	0.3390436219
44	0.3379402321
45	0.3366611419
46	0.3357268722
47	0.3346248329
48	0.3334087511
49	0.3326433521
50	0.3316752351
51	0.3307250933
52	0.3300214189
53	0.3294227895
54	0.3286401232
55	0.3281386858
56	0.3274494326
57	0.3266883522
58	0.3260501858
59	0.3254537198
60	0.3250970997
61	0.3243311977
62	0.3237936784
63	0.3230640737
64	0.322770182
65	0.3224907864
66	0.3220612981
67	0.3218435987
68	0.3215847349
69	0.3213934874
70	0.3212141132
71	0.3210458256
72	0.3206477342
73	0.3204467682
74	0.3202390197
75	0.3200737711
76	0.3197857977
77	0.3196241145
78	0.3192953011
79	0.3190892952
80	0.3186252052
81	0.3184212002
82	0.3181454609
83	0.3177767777
84	0.3175512859
85	0.3174023135
86	0.3170430787
87	0.3166816932
88	0.3165330433
89	0.3163218146
90	0.3162092214
91	0.3158984385
92	0.3158555385
93	0.3156530599
94	0.3154572741
95	0.3151945967
96	0.3149447173
97	0.3147597519
98	0.3147326027
99	0.3145124227
100	0.3143972951
101	0.3142472203
102	0.3139455294
103	0.3138587699
104	0.3137518188
105	0.3135497621
106	0.3131557825
107	0.313050029
108	0.3128261251
109	0.3126883717
110	0.3125184793
111	0.3122983971
112	0.3122224939
113	0.3120929712
114	0.3119200986
115	0.3118359311
116	0.3117952935
117	0.3116608962
118	0.3114700218
119	0.3113124459
120	0.3111560256
121	0.3110916902
122	0.3108846377
123	0.310802561
124	0.3106408527
125	0.3105156071
126	0.310435483
127	0.3103441914
128	0.3102542895
129	0.3100677275
130	0.3098921622
131	0.309808893
132	0.3097556879
133	0.3096398424
134	0.309540211
135	0.3094589408
136	0.3092976897
137	0.3092087967
138	0.3091855932
139	0.3091142214
140	0.3089745427
141	0.3088886756
142	0.3087804058
143	0.3087678427
144	0.3086495237
145	0.308600979
146	0.3084845424
147	0.3084654318
148	0.3083686209
149	0.3083654193
150	0.3082919733
151	0.3082641121
152	0.3081196131
153	0.3080447379
154	0.3079654222
155	0.3079560205
156	0.3079273011
157	0.3078057459
158	0.3078012095
159	0.307731872
160	0.3076672013
161	0.3076255087
162	0.3075288952
163	0.3074455483
164	0.3073993677
165	0.3073140571
166	0.3072198578
167	0.3071795471
168	0.3071017853
169	0.3069371251
170	0.3068129498
171	0.3068018539
172	0.3067843757
173	0.3067105123
174	0.3065841276
175	0.3065020717
176	0.3065009396
177	0.3064320921
178	0.3063774203
