iter	Passed	Remaining
0	39	31775
1	87	35003
2	115	30814
3	126	25226
4	155	24704
5	186	24691
6	197	22393
7	221	21971
8	274	24118
9	282	22305
10	304	21874
11	330	21723
12	345	20935
13	362	20379
14	374	19614
15	391	19180
16	410	18915
17	440	19139
18	486	19989
19	510	19923
20	520	19322
21	525	18581
22	546	18471
23	573	18548
24	595	18463
25	604	17989
26	621	17796
27	637	17584
28	657	17493
29	695	17845
30	707	17554
31	721	17315
32	758	17623
33	782	17619
34	793	17349
35	817	17356
36	849	17512
37	856	17178
38	871	17010
39	876	16652
40	882	16334
41	896	16182
42	910	16024
43	944	16228
44	976	16385
45	1001	16420
46	1016	16291
47	1044	16370
48	1077	16511
49	1091	16368
50	1118	16422
51	1131	16270
52	1140	16075
53	1151	15903
54	1191	16135
55	1204	15997
56	1234	16095
57	1272	16282
58	1299	16324
59	1312	16192
60	1327	16082
61	1363	16233
62	1400	16378
63	1435	16511
64	1448	16376
65	1473	16383
66	1499	16407
67	1511	16268
68	1519	16096
69	1527	15934
70	1535	15767
71	1543	15607
72	1570	15645
73	1599	15696
74	1638	15837
75	1650	15719
76	1691	15883
77	1712	15850
78	1753	16007
79	1788	16100
80	1820	16159
81	1846	16171
82	1876	16213
83	1903	16225
84	1934	16272
85	1955	16237
86	1982	16244
87	2026	16397
88	2063	16482
89	2123	16752
90	2149	16746
91	2181	16788
92	2194	16683
93	2230	16753
94	2257	16755
95	2276	16692
96	2289	16595
97	2304	16507
98	2311	16369
99	2325	16275
100	2332	16145
101	2353	16107
102	2370	16043
103	2383	15950
104	2398	15878
105	2432	15926
106	2457	15918
107	2476	15865
108	2493	15809
109	2508	15738
110	2532	15716
111	2559	15720
112	2608	15861
113	2641	15897
114	2674	15932
115	2707	15967
116	2727	15922
117	2764	15976
118	2803	16042
119	2843	16115
120	2891	16223
121	2906	16154
122	2947	16221
123	2979	16244
124	3016	16286
125	3055	16344
126	3074	16295
127	3119	16378
128	3153	16404
129	3195	16469
130	3218	16439
131	3229	16345
132	3261	16358
133	3282	16313
134	3314	16328
135	3354	16377
136	3395	16431
137	3414	16379
138	3439	16355
139	3467	16346
140	3510	16407
141	3553	16467
142	3597	16529
143	3621	16498
144	3652	16501
145	3682	16493
146	3709	16478
147	3723	16402
148	3747	16375
149	3765	16317
150	3794	16309
151	3808	16235
152	3829	16194
153	3854	16167
154	3882	16154
155	3895	16081
156	3914	16032
157	3940	16010
158	3957	15955
159	3977	15909
160	4006	15900
161	4029	15868
162	4070	15908
163	4107	15930
164	4130	15894
165	4164	15907
166	4201	15926
167	4221	15881
168	4252	15877
169	4292	15909
170	4330	15929
171	4357	15910
172	4377	15866
173	4408	15860
174	4437	15846
175	4472	15856
176	4489	15802
177	4521	15798
178	4552	15795
179	4565	15724
180	4582	15672
181	4600	15620
182	4608	15538
183	4645	15550
184	4685	15575
185	4709	15545
186	4721	15476
187	4751	15468
188	4785	15470
189	4814	15456
190	4848	15458
191	4861	15395
192	4898	15407
193	4912	15346
194	4942	15333
195	4949	15253
196	4968	15209
197	4989	15170
198	5008	15127
199	5032	15096
200	5061	15083
201	5072	15017
202	5097	14991
203	5124	14970
204	5144	14932
205	5177	14929
206	5194	14880
207	5209	14828
208	5232	14797
209	5257	14770
210	5280	14740
211	5299	14697
212	5315	14649
213	5337	14614
214	5352	14563
215	5371	14523
216	5388	14477
217	5423	14478
218	5439	14429
219	5464	14407
220	5484	14369
221	5510	14347
222	5535	14322
223	5550	14272
224	5575	14247
225	5598	14219
226	5605	14149
227	5624	14111
228	5656	14104
229	5672	14057
230	5694	14027
231	5720	14004
232	5741	13970
233	5752	13914
234	5767	13866
235	5774	13799
236	5794	13765
237	5820	13743
238	5836	13699
239	5846	13642
240	5868	13612
241	5885	13569
242	5917	13563
243	5925	13502
244	5937	13450
245	5962	13427
246	5980	13389
247	5994	13342
248	6004	13287
249	6035	13277
250	6049	13230
251	6061	13180
252	6076	13137
253	6105	13123
254	6139	13122
255	6153	13076
256	6171	13039
257	6182	12987
258	6193	12936
259	6204	12886
260	6214	12833
261	6236	12805
262	6257	12776
263	6272	12734
264	6295	12709
265	6313	12674
266	6338	12652
267	6357	12620
268	6380	12594
269	6389	12542
270	6413	12519
271	6435	12493
272	6476	12503
273	6500	12478
274	6528	12462
275	6560	12454
276	6596	12454
277	6608	12408
278	6643	12406
279	6684	12414
280	6708	12391
281	6736	12373
282	6772	12372
283	6807	12367
284	6829	12341
285	6872	12351
286	6892	12320
287	6914	12292
288	6953	12295
289	6977	12270
290	7018	12277
291	7045	12257
292	7055	12208
293	7086	12196
294	7099	12153
295	7134	12147
296	7169	12142
297	7197	12123
298	7217	12093
299	7258	12097
300	7282	12072
301	7307	12049
302	7322	12010
303	7340	11975
304	7377	11973
305	7412	11966
306	7426	11926
307	7453	11906
308	7478	11883
309	7502	11858
310	7541	11857
311	7569	11839
312	7590	11809
313	7622	11797
314	7666	11803
315	7700	11795
316	7733	11782
317	7764	11768
318	7787	11741
319	7800	11700
320	7833	11689
321	7860	11668
322	7901	11668
323	7924	11642
324	7968	11645
325	7975	11596
326	8010	11587
327	8037	11565
328	8053	11529
329	8089	11521
330	8125	11512
331	8156	11497
332	8169	11456
333	8197	11436
334	8220	11411
335	8259	11405
336	8289	11389
337	8302	11349
338	8341	11343
339	8371	11325
340	8395	11301
341	8425	11283
342	8454	11264
343	8485	11247
344	8529	11248
345	8547	11215
346	8580	11202
347	8611	11184
348	8655	11185
349	8689	11172
350	8719	11153
351	8747	11132
352	8776	11113
353	8797	11083
354	8823	11059
355	8851	11040
356	8863	10998
357	8915	11007
358	8948	10991
359	8983	10980
360	9005	10951
361	9022	10916
362	9053	10898
363	9080	10876
364	9094	10839
365	9134	10831
366	9166	10815
367	9172	10767
368	9209	10756
369	9242	10740
370	9278	10728
371	9310	10711
372	9338	10690
373	9371	10674
374	9408	10662
375	9436	10641
376	9472	10627
377	9507	10614
378	9544	10601
379	9561	10568
380	9591	10547
381	9636	10544
382	9648	10505
383	9680	10487
384	9705	10461
385	9723	10428
386	9740	10394
387	9761	10365
388	9785	10338
389	9809	10312
390	9840	10293
391	9882	10285
392	9901	10253
393	9920	10222
394	9947	10199
395	9962	10163
396	9992	10143
397	10033	10134
398	10056	10107
399	10076	10076
400	10090	10039
401	10105	10004
402	10119	9969
403	10134	9934
404	10149	9898
405	10167	9866
406	10182	9832
407	10198	9798
408	10212	9762
409	10226	9727
410	10240	9692
411	10256	9659
412	10271	9624
413	10286	9590
414	10300	9555
415	10317	9523
416	10332	9490
417	10346	9455
418	10361	9422
419	10378	9390
420	10394	9357
421	10409	9324
422	10422	9289
423	10436	9255
424	10449	9220
425	10464	9187
426	10480	9154
427	10497	9124
428	10512	9091
429	10525	9056
430	10538	9022
431	10550	8987
432	10562	8952
433	10577	8919
434	10592	8888
435	10609	8857
436	10622	8823
437	10634	8789
438	10649	8757
439	10664	8725
440	10679	8694
441	10693	8661
442	10708	8630
443	10725	8599
444	10741	8568
445	10754	8535
446	10768	8504
447	10783	8472
448	10799	8442
449	10816	8413
450	10832	8382
451	10847	8351
452	10861	8319
453	10876	8289
454	10891	8258
455	10907	8228
456	10923	8198
457	10939	8168
458	10952	8136
459	10969	8107
460	10986	8079
461	11003	8049
462	11017	8019
463	11027	7985
464	11043	7956
465	11057	7925
466	11072	7895
467	11088	7866
468	11100	7834
469	11115	7804
470	11130	7774
471	11146	7745
472	11160	7715
473	11190	7696
474	11207	7668
475	11237	7648
476	11266	7629
477	11286	7603
478	11313	7581
479	11337	7558
480	11363	7536
481	11400	7521
482	11449	7514
483	11487	7500
484	11537	7493
485	11561	7469
486	11605	7459
487	11641	7442
488	11667	7420
489	11705	7405
490	11740	7388
491	11773	7370
492	11798	7347
493	11826	7325
494	11863	7310
495	11894	7290
496	11916	7264
497	11934	7237
498	11963	7216
499	12000	7200
500	12026	7177
501	12069	7164
502	12135	7165
503	12157	7140
504	12196	7124
505	12247	7115
506	12276	7094
507	12325	7085
508	12339	7054
509	12376	7037
510	12406	7016
511	12431	6992
512	12455	6968
513	12503	6957
514	12547	6943
515	12587	6928
516	12632	6914
517	12660	6892
518	12685	6868
519	12705	6841
520	12732	6818
521	12767	6799
522	12798	6778
523	12817	6751
524	12848	6730
525	12883	6711
526	12935	6700
527	12985	6689
528	13028	6674
529	13065	6656
530	13120	6646
531	13147	6623
532	13185	6605
533	13237	6593
534	13256	6566
535	13270	6536
536	13288	6507
537	13307	6480
538	13342	6460
539	13371	6438
540	13402	6416
541	13419	6387
542	13458	6369
543	13470	6339
544	13503	6318
545	13528	6293
546	13566	6274
547	13602	6255
548	13622	6228
549	13654	6206
550	13665	6175
551	13689	6150
552	13714	6125
553	13739	6100
554	13756	6072
555	13782	6048
556	13810	6025
557	13845	6004
558	13869	5979
559	13893	5954
